window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-06-01_2020-08-31,z500,HRES,3 days,66.5,1.0062888230168539,2300.08724500639
2020-06-01_2020-08-31,z500,HRES,3 days,67.5,1.0032311555942,2204.6278916328774
2020-06-01_2020-08-31,z500,HRES,3 days,68.5,1.0173696046099707,2132.446317775435
2020-06-01_2020-08-31,z500,HRES,3 days,69.5,1.0024862673110424,2080.1277777297223
2020-06-01_2020-08-31,z500,HRES,3 days,70.5,1.0356652868188527,1992.3711383001578
2020-06-01_2020-08-31,z500,HRES,3 days,71.5,1.000729495460718,1960.6837220863993
2020-06-01_2020-08-31,z500,HRES,3 days,72.5,1.018895025248023,1885.1672565535926
2020-06-01_2020-08-31,z500,HRES,3 days,73.5,1.0357284664189574,1842.7100330806138
2020-06-01_2020-08-31,z500,HRES,3 days,74.5,1.0159962841965597,1773.3512399681224
2020-06-01_2020-08-31,z500,HRES,3 days,75.5,1.0314658348704058,1709.583791632979
2020-06-01_2020-08-31,z500,HRES,3 days,76.5,1.0452498716758585,1687.894629678943
2020-06-01_2020-08-31,z500,HRES,3 days,77.5,1.0517612489587542,1603.7036849398132
2020-06-01_2020-08-31,z500,HRES,3 days,78.5,1.0312748928394864,1585.820565902602
2020-06-01_2020-08-31,z500,HRES,3 days,79.5,1.0529884919052284,1524.0648948254932
2020-06-01_2020-08-31,z500,HRES,3 days,80.5,1.0464453604219992,1493.0176486921832
2020-06-01_2020-08-31,z500,HRES,3 days,81.5,1.0630067106318535,1463.1730359539108
2020-06-01_2020-08-31,z500,HRES,3 days,82.5,1.0577711806569705,1402.7182296890364
2020-06-01_2020-08-31,z500,HRES,3 days,83.5,1.0653146790365189,1387.5087040098224
2020-06-01_2020-08-31,z500,HRES,3 days,84.5,1.0523285424461113,1328.1502094509356
2020-06-01_2020-08-31,z500,HRES,3 days,85.5,1.0572302165360628,1312.2528120917311
2020-06-01_2020-08-31,z500,HRES,3 days,86.5,1.0887187243079346,1291.7815616039336
2020-06-01_2020-08-31,z500,HRES,3 days,87.5,1.067561704397874,1233.643994232779
