window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-06-01_2022-08-31,u850,HRES,7 days,0,RMSE,40,5.0995407482276445,4.988809862309075,5.2344708412251535,5.091748693579062,0.30996484522561146
2022-06-01_2022-08-31,u850,HRES,7 days,1,RMSE,40,4.895343322980388,4.7877980307845736,5.002453597713029,4.919730062850886,0.24784367357886414
2022-06-01_2022-08-31,u850,HRES,7 days,2,RMSE,19,4.925334283091098,4.777069803833909,4.997542914954049,4.883073743127997,0.22012606409444094
2022-06-01_2022-08-31,u850,HRES,7 days,3,RMSE,71,5.00587899218908,4.829605650074941,5.16237728780329,5.05578481457326,0.4028431074046775
2022-06-01_2022-08-31,u850,HRES,1 days,0,ACC,40,0.9689316283980677,0.9676291063207132,0.9703202674454859,0.969225556206911,0.002712470591959047
2022-06-01_2022-08-31,u850,HRES,1 days,1,ACC,40,0.9693072067974521,0.9671681302502887,0.9712704341644369,0.9696034005388448,0.0036680288981896085
2022-06-01_2022-08-31,u850,HRES,1 days,2,ACC,31,0.9735032712667625,0.9719237666504821,0.9748357530794742,0.9726181986659994,0.00249491225200117
2022-06-01_2022-08-31,u850,HRES,1 days,3,ACC,71,0.9692079111049619,0.9681212221207293,0.9704128146365977,0.9688032458542495,0.0030074139085486556
2022-06-01_2022-08-31,u850,HRES,3 days,0,ACC,40,0.900195295929516,0.8948257817112518,0.9078481742199764,0.9026935487993972,0.013348489346060127
2022-06-01_2022-08-31,u850,HRES,3 days,1,ACC,40,0.902310512676517,0.8933656440864357,0.910101531360816,0.9040189865041183,0.015024027493888342
2022-06-01_2022-08-31,u850,HRES,3 days,2,ACC,27,0.9180250191841134,0.9131273377901158,0.9229133490221282,0.9202330514795987,0.008057103181411033
2022-06-01_2022-08-31,u850,HRES,3 days,3,ACC,71,0.9039588585754285,0.9003086384489806,0.9077826317205447,0.9041100516462182,0.01054303116235166
