window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std,lead_h,tag,bucket,season,start,end
2018-03-01_2018-05-31,t850,HRES,1 days,2,MAE,60,0.4930505907938677,0.4874982891158643,0.5004245503901996,0.4899861737097801,0.0157377195428525,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,3,MAE,42,0.4911653865936979,0.4881918764123182,0.4943391528036008,0.4898997940884477,0.0093527585459897,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,0,MAE,22,0.8117702757605924,0.8033348748974064,0.8218522966556294,0.8107865752782288,0.0223202551583579,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,1,MAE,58,0.838540457200983,0.8292912412476655,0.8475612611730012,0.8353785861678562,0.0235013174667913,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,2,MAE,60,0.8030603515387101,0.7896431025580232,0.8157798662366504,0.7990558607435111,0.0332572548025223,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,3 days,3,MAE,38,0.7989909884854626,0.7901618016705272,0.8090738136810052,0.8012868562803803,0.0225814385430484,72.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,0,MAE,22,1.2568961912345669,1.235127465122543,1.2924543849417265,1.242921433783343,0.0491186632915183,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,1,MAE,58,1.2902353178069028,1.2699604224661876,1.3119459174192178,1.288478586312694,0.0607214829392665,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,2,MAE,60,1.250479985796754,1.2169117890348322,1.285163876134069,1.2502376878765766,0.0782466076101833,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,5 days,3,MAE,34,1.2432668753909746,1.2156232071651607,1.267460780257672,1.248998596736357,0.0531515757316855,120.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,0,MAE,22,1.8377754568914824,1.7964130648076506,1.8534801047327367,1.8358304722865588,0.0960721652528394,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,1,MAE,58,1.8180483722691292,1.7758887973271582,1.8618681368202368,1.793327917486102,0.1320095782787779,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,2,MAE,60,1.794091484782498,1.7411620412305695,1.8431961935882968,1.7734529543577868,0.131559524334512,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,7 days,3,MAE,30,1.8489282897056545,1.7980352831639614,1.9023164155376289,1.8586473255635083,0.1058491473293848,168.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,0,BIAS,22,-0.0054122067554082,-0.0222407666466644,0.0098961790584347,-0.0052601668353169,0.0216873110661706,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,1,BIAS,58,-0.0119640180882017,-0.0207367034903309,-0.0037121774109738,-0.0122218972955632,0.0213965938938776,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
2018-03-01_2018-05-31,t850,HRES,1 days,2,BIAS,60,-0.0332850841228963,-0.041842047451299,-0.0249712537200279,-0.0309364937032452,0.0206618507574697,24.0,MAM_2018,season,MAM,2018-03-01,2018-05-31
