window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2022-01-01_2022-12-31,z500,HRES,1 days,123.5,1.258020591474073,520.502149125702
2022-01-01_2022-12-31,z500,HRES,1 days,124.5,1.2804021201138196,505.89829193992847
2022-01-01_2022-12-31,z500,HRES,1 days,125.5,1.2855155849930253,492.50001154746917
2022-01-01_2022-12-31,z500,HRES,1 days,126.5,1.299641700330835,482.21674715845637
2022-01-01_2022-12-31,z500,HRES,1 days,127.5,1.3228447209083773,467.9136030519075
2022-01-01_2022-12-31,z500,HRES,1 days,128.5,1.3117982947963571,459.95442575430593
2022-01-01_2022-12-31,z500,HRES,1 days,129.5,1.3419788157679393,450.7026715098494
2022-01-01_2022-12-31,z500,HRES,1 days,130.5,1.3331770353147538,443.80114862082746
2022-01-01_2022-12-31,z500,HRES,1 days,131.5,1.3624915570919076,440.0708475821179
2022-01-01_2022-12-31,z500,HRES,1 days,132.5,1.3658101098776605,432.12104138638614
2022-01-01_2022-12-31,z500,HRES,1 days,133.5,1.4153561828075254,420.85358920675304
2022-01-01_2022-12-31,z500,HRES,1 days,134.5,1.3047366009109576,389.0933066561371
2022-01-01_2022-12-31,z500,HRES,3 days,0.5,1.0117947599121204,0.04945257275866517
2022-01-01_2022-12-31,z500,HRES,3 days,1.5,0.9860247910677189,474948.98553734634
2022-01-01_2022-12-31,z500,HRES,3 days,2.5,0.9895853754043186,323575.6749543701
2022-01-01_2022-12-31,z500,HRES,3 days,3.5,0.9733093267462049,309445.47170576506
2022-01-01_2022-12-31,z500,HRES,3 days,4.5,0.9790037554843652,290037.6882964182
2022-01-01_2022-12-31,z500,HRES,3 days,5.5,0.978818337387315,253815.36018780438
2022-01-01_2022-12-31,z500,HRES,3 days,6.5,0.987771956083184,226375.8165334297
2022-01-01_2022-12-31,z500,HRES,3 days,7.5,0.9853435645545611,195005.33687732846
2022-01-01_2022-12-31,z500,HRES,3 days,8.5,0.9860867982613534,171640.43669049052
2022-01-01_2022-12-31,z500,HRES,3 days,9.5,0.9813236385434192,151005.96831387383
2022-01-01_2022-12-31,z500,HRES,3 days,10.5,0.9805863229325306,130058.34653180311
2022-01-01_2022-12-31,z500,HRES,3 days,11.5,0.9841058718775176,116143.14930197844
2022-01-01_2022-12-31,z500,HRES,3 days,12.5,0.9952431541501301,99259.36537904352
2022-01-01_2022-12-31,z500,HRES,3 days,13.5,0.9987542141636998,86756.98172545704
2022-01-01_2022-12-31,z500,HRES,3 days,14.5,1.0051405430304523,77054.97632332779
2022-01-01_2022-12-31,z500,HRES,3 days,15.5,1.002631113679087,68501.72109538254
2022-01-01_2022-12-31,z500,HRES,3 days,16.5,1.0017767930712294,62236.31079928045
2022-01-01_2022-12-31,z500,HRES,3 days,17.5,1.0026421412159219,55293.95921302908
2022-01-01_2022-12-31,z500,HRES,3 days,18.5,1.0102795884876756,49886.94913071292
2022-01-01_2022-12-31,z500,HRES,3 days,19.5,1.013937426664834,45471.27269560126
2022-01-01_2022-12-31,z500,HRES,3 days,20.5,1.0135825133782466,41447.525584095805
