window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-09-01_2022-11-30,t850,HRES,7 days,2,BIAS,43,0.03946950337673063,-0.009060794267529237,0.09454147690816003,0.045402513661219675,0.0870119005876173
2022-09-01_2022-11-30,t850,HRES,7 days,3,BIAS,35,-0.08423536287530244,-0.1321052266968335,-0.04247513699908833,-0.07517900819652622,0.07637350444184107
2022-09-01_2022-11-30,u850,HRES,1 days,0,RMSE,48,1.2668968330400345,1.2470673782891302,1.2895760815469528,1.2647749913409903,0.03843106348282088
2022-09-01_2022-11-30,u850,HRES,1 days,1,RMSE,42,1.26517905052473,1.2551410744997546,1.2720995484251454,1.2611943843845261,0.029927440783233197
2022-09-01_2022-11-30,u850,HRES,1 days,2,RMSE,55,1.2933996357989805,1.2775308075111143,1.3100898983555866,1.2919549247978774,0.037825553555586644
2022-09-01_2022-11-30,u850,HRES,1 days,3,RMSE,35,1.2773227650193502,1.262690457309428,1.2941810406647218,1.2785383122690992,0.035373738245523034
2022-09-01_2022-11-30,u850,HRES,3 days,0,RMSE,48,2.1980452608878713,2.1543477769107247,2.2395009043036445,2.1858794164747573,0.0927274437486248
2022-09-01_2022-11-30,u850,HRES,3 days,1,RMSE,42,2.268689406640527,2.222219895017524,2.2978517491327475,2.2523955588217177,0.09662904687675679
2022-09-01_2022-11-30,u850,HRES,3 days,2,RMSE,51,2.369008341600042,2.3183410783240856,2.4352693751503263,2.346803673729711,0.1301110056220703
2022-09-01_2022-11-30,u850,HRES,3 days,3,RMSE,35,2.281091013279296,2.250824228242876,2.318027866967677,2.276263222648513,0.10173705522794038
2022-09-01_2022-11-30,u850,HRES,5 days,0,RMSE,48,3.508572636369248,3.423881379736825,3.604660943534752,3.5049294104196367,0.21383072114735613
2022-09-01_2022-11-30,u850,HRES,5 days,1,RMSE,42,3.5992618802066296,3.491052296377929,3.6918079250687823,3.5779311153699327,0.20720469761818258
2022-09-01_2022-11-30,u850,HRES,5 days,2,RMSE,47,3.793048810300741,3.697681029911569,3.861567192524865,3.7934100033470584,0.20480717197385503
