window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2019-12-01_2020-02-29,u850,HRES,3 days,3,BIAS,64,-0.004260167248845245,-0.025464558179907667,0.01501311033683614,-0.011120213714951008,0.05594278048586178
2019-12-01_2020-02-29,u850,HRES,5 days,0,BIAS,32,-0.04571449428727688,-0.07214251531863003,-0.021981378969300264,-0.048332121340204745,0.05507591554267639
2019-12-01_2020-02-29,u850,HRES,5 days,1,BIAS,39,-0.03749623028231762,-0.06947183807553835,-0.010284911373757352,-0.037389670219535535,0.07018457552268213
2019-12-01_2020-02-29,u850,HRES,5 days,2,BIAS,37,-0.035701346797472604,-0.0849397189414525,0.01083597995432504,-0.02723358500061982,0.09471088292026993
2019-12-01_2020-02-29,u850,HRES,5 days,3,BIAS,64,-0.050860979827279496,-0.07749338625479187,-0.03000542778864742,-0.05663374519991157,0.0711070502796617
2019-12-01_2020-02-29,u850,HRES,7 days,0,BIAS,32,-0.07976056169842972,-0.12895247790426592,-0.04469084474676819,-0.10031961954415822,0.09028200805608792
2019-12-01_2020-02-29,u850,HRES,7 days,1,BIAS,39,-0.08466957171420858,-0.14238539906013195,-0.04108635627462446,-0.08998489768296114,0.11256770939240013
2019-12-01_2020-02-29,u850,HRES,7 days,2,BIAS,33,-0.07441175586194057,-0.1227876799819283,-0.012856011947050008,-0.06570626636356303,0.09886399261982012
2019-12-01_2020-02-29,u850,HRES,7 days,3,BIAS,64,-0.08385964288334534,-0.11274650426805106,-0.0590943792292485,-0.07039364320984556,0.08442425548793579
2019-12-01_2020-02-29,u850,GraphCast,1 days,0,BIAS,32,0.009193400410572282,-0.006930553548782117,0.029578005630381713,0.014904320382196258,0.044084846025338784
2019-12-01_2020-02-29,u850,GraphCast,1 days,1,BIAS,39,0.0005000797210792945,-0.015403667987799406,0.0157243700536665,0.0019154943778642841,0.04100737645961178
2019-12-01_2020-02-29,u850,GraphCast,1 days,2,BIAS,45,-0.008272087713878386,-0.016917596860246596,-0.00048142525248757805,-0.00828449129781184,0.029872689884023293
2019-12-01_2020-02-29,u850,GraphCast,1 days,3,BIAS,64,0.0037173315130531862,-0.006759776796786416,0.01133365021871169,0.0007547271643910389,0.0348992153790907
2019-12-01_2020-02-29,u850,GraphCast,3 days,0,BIAS,32,0.050775089890624646,0.02216498987418805,0.08590482289230258,0.0447498539868232,0.05494864077453972
2019-12-01_2020-02-29,u850,GraphCast,3 days,1,BIAS,39,0.04523666336512803,0.01730685384178997,0.06972171647035619,0.055600272808029,0.05414867377223742
2019-12-01_2020-02-29,u850,GraphCast,3 days,2,BIAS,41,0.03138260780895173,0.01971458721761267,0.0460518609644326,0.02584465973738344,0.0396079936103628
2019-12-01_2020-02-29,u850,GraphCast,3 days,3,BIAS,64,0.04632189498902416,0.026112150131640654,0.06569954836798962,0.04863449246679624,0.05483550865328023
2019-12-01_2020-02-29,u850,GraphCast,5 days,0,BIAS,32,0.06791128340000542,0.03597963873897093,0.10967576382385265,0.06849851264460724,0.0657714569038309
2019-12-01_2020-02-29,u850,GraphCast,5 days,1,BIAS,39,0.061854277281358436,0.023019508879209723,0.10002810837795614,0.07110919887262093,0.07474765762194448
2019-12-01_2020-02-29,u850,GraphCast,5 days,2,BIAS,37,0.07768479181358309,0.05583686824681111,0.09419309504741852,0.07828904420182131,0.047008485419021175
2019-12-01_2020-02-29,u850,GraphCast,5 days,3,BIAS,64,0.07177374580572243,0.05002753392277619,0.09058504255972646,0.06906835675412823,0.0637892726095882
2019-12-01_2020-02-29,u850,GraphCast,7 days,0,BIAS,32,0.07393147446974055,0.03495150390291718,0.11882776068610776,0.06494228777080283,0.07604899800202836
2019-12-01_2020-02-29,u850,GraphCast,7 days,1,BIAS,39,0.03332157858696231,-0.031663728288670624,0.0930387146080548,0.07060106169248424,0.11773214143269448
2019-12-01_2020-02-29,u850,GraphCast,7 days,2,BIAS,33,0.10909406750963294,0.08558253000814553,0.13613759822019394,0.10338542156418717,0.059330229009092586
2019-12-01_2020-02-29,u850,GraphCast,7 days,3,BIAS,64,0.10134751984651175,0.0809787967215837,0.12294679057924611,0.0903043794351696,0.06910841332952916
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,0,BIAS,32,-0.0001876301386259246,-0.013151326188564641,0.014977251461020198,0.0032716121348494026,0.034419542189691774
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,1,BIAS,22,0.011056532075104509,-0.004988341222434518,0.029640757927473647,0.020724993001308846,0.03817254138906574
2019-12-01_2020-02-29,u850,NeuralGCM,1 days,3,BIAS,64,-0.012887355164181095,-0.02247363897850253,-0.0062148482280730815,-0.010922008905261297,0.03335658846760016
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,0,BIAS,32,0.019036791945675813,-0.00822520588474673,0.04008041006365979,0.02455197864526218,0.04736278262642695
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,1,BIAS,22,0.04262372962462128,0.02303903252926985,0.06853168842304533,0.05843509042785032,0.044563223702347145
2019-12-01_2020-02-29,u850,NeuralGCM,3 days,3,BIAS,60,0.007921235395117406,-0.004566899886310599,0.02247853391930049,-0.0015041508676197865,0.04644676606278108
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,0,BIAS,32,0.053793508369964146,0.029344137921733748,0.07394132421680175,0.06141105728537395,0.050343207596923324
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,1,BIAS,22,0.0818822670005256,0.057297761639040955,0.0982777387688991,0.08829464631355854,0.04716404293713033
2019-12-01_2020-02-29,u850,NeuralGCM,5 days,3,BIAS,56,0.03393238871364219,0.013807886187587182,0.05235150898153101,0.03527737505741118,0.05613168282865304
2019-12-01_2020-02-29,u850,NeuralGCM,7 days,0,BIAS,32,0.05601904333806781,0.02460901789235472,0.0824932037177763,0.03902255802406197,0.07108764142235842
